astraweave-physics/src/destruction.rs:164:35: replace * with / in FracturePattern::layered
astraweave-physics/src/destruction.rs:164:35: replace * with + in FracturePattern::layered
astraweave-physics/src/destruction.rs:166:31: replace / with * in FracturePattern::layered
astraweave-physics/src/destruction.rs:166:31: replace / with % in FracturePattern::layered
astraweave-physics/src/destruction.rs:168:43: replace * with / in FracturePattern::layered
astraweave-physics/src/destruction.rs:168:43: replace * with + in FracturePattern::layered
astraweave-physics/src/destruction.rs:168:49: replace / with * in FracturePattern::layered
astraweave-physics/src/destruction.rs:168:49: replace / with % in FracturePattern::layered
astraweave-physics/src/destruction.rs:171:35: replace + with - in FracturePattern::layered
astraweave-physics/src/destruction.rs:171:35: replace + with * in FracturePattern::layered
astraweave-physics/src/destruction.rs:171:42: replace * with / in FracturePattern::layered
astraweave-physics/src/destruction.rs:171:42: replace * with + in FracturePattern::layered
astraweave-physics/src/destruction.rs:171:57: replace - with / in FracturePattern::layered
astraweave-physics/src/destruction.rs:171:57: replace - with + in FracturePattern::layered
astraweave-physics/src/destruction.rs:175:34: replace * with / in FracturePattern::layered
astraweave-physics/src/destruction.rs:175:34: replace * with + in FracturePattern::layered
astraweave-physics/src/destruction.rs:175:58: replace / with * in FracturePattern::layered
astraweave-physics/src/destruction.rs:175:58: replace / with % in FracturePattern::layered
astraweave-physics/src/destruction.rs:176:37: replace * with / in FracturePattern::layered
astraweave-physics/src/destruction.rs:176:37: replace * with + in FracturePattern::layered
astraweave-physics/src/destruction.rs:176:54: replace * with / in FracturePattern::layered
astraweave-physics/src/destruction.rs:176:54: replace * with + in FracturePattern::layered
astraweave-physics/src/destruction.rs:177:37: replace * with / in FracturePattern::layered
astraweave-physics/src/destruction.rs:177:37: replace * with + in FracturePattern::layered
astraweave-physics/src/destruction.rs:177:54: replace * with / in FracturePattern::layered
astraweave-physics/src/destruction.rs:177:54: replace * with + in FracturePattern::layered
astraweave-physics/src/destruction.rs:180:21: delete field shape from struct DebrisConfig expression in FracturePattern::layered
astraweave-physics/src/destruction.rs:182:44: replace * with / in FracturePattern::layered
astraweave-physics/src/destruction.rs:182:44: replace * with + in FracturePattern::layered
astraweave-physics/src/destruction.rs:183:42: replace * with / in FracturePattern::layered
astraweave-physics/src/destruction.rs:183:42: replace * with + in FracturePattern::layered
astraweave-physics/src/destruction.rs:184:44: replace * with / in FracturePattern::layered
astraweave-physics/src/destruction.rs:184:44: replace * with + in FracturePattern::layered
astraweave-physics/src/destruction.rs:187:21: delete field local_position from struct DebrisConfig expression in FracturePattern::layered
astraweave-physics/src/destruction.rs:188:21: delete field mass from struct DebrisConfig expression in FracturePattern::layered
astraweave-physics/src/destruction.rs:311:31: replace < with <= in Destructible::apply_damage
astraweave-physics/src/destruction.rs:371:9: replace Destructible::is_destroyed -> bool with true
astraweave-physics/src/destruction.rs:421:38: replace * with / in Debris::update
astraweave-physics/src/destruction.rs:421:38: replace * with + in Debris::update
astraweave-physics/src/destruction.rs:493:44: replace != with == in DestructionManager::remove_destructible
astraweave-physics/src/destruction.rs:504:9: replace DestructionManager::get_mut -> Option<&mut Destructible> with None
astraweave-physics/src/destruction.rs:516:9: replace DestructionManager::apply_force with ()
astraweave-physics/src/destruction.rs:523:9: replace DestructionManager::on_collision with ()
astraweave-physics/src/destruction.rs:539:9: replace DestructionManager::get_debris -> Option<&Debris> with None
astraweave-physics/src/destruction.rs:564:37: replace * with / in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:564:37: replace * with + in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:565:17: replace + with - in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:565:17: replace + with * in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:565:35: replace * with / in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:565:35: replace * with + in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:565:67: replace * with / in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:565:67: replace * with + in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:566:17: replace * with / in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:566:17: replace * with + in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:572:30: replace * with / in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:572:30: replace * with + in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:572:45: replace * with / in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:572:45: replace * with + in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:573:30: replace * with / in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:573:30: replace * with + in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:573:45: replace * with / in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:573:45: replace * with + in DestructionManager::spawn_debris
astraweave-physics/src/destruction.rs:574:30: replace * with / in DestructionManager::spawn_debris
